# class	chain — refused by apertium-kaz on every representative stem,
# unpinned and attested below 25 tokens; tools/audit_apertium.py
nbn	ады
nbn	адым
nbn	адық
nbn	адың
nbn	ай
nbn	айын
nbn	айық
nbn	ак
nbn	ал
nbn	алы
nbn	алын
nbn	алып
nbn	алық
nbn	ам
nbn	амыз
nbn	амын
nbn	ан
nbn	апты
nbn	ар
nbn	ардан
nbn	арды
nbn	ардың
nbn	арлар
nbn	арлығын
nbn	арлық
nbn	арлықтай
nbn	армын
nbn	арта
nbn	аршы
nbn	ары
nbn	арым
nbn	арымыз
nbn	арын
nbn	арына
nbn	арың
nbn	арға
nbn	ас
nbn	асаң
nbn	астан
nbn	асы
nbn	асыз
nbn	асын
nbn	асың
nbn	асқа
nbn	ат
nbn	аты
nbn	атын
nbn	ақ
nbn	аң
nbn	ба
nbn	бада
nbn	бадай
nbn	бадан
nbn	бадағы
nbn	бады
nbn	бай
nbn	байды
nbn	байдың
nbn	байтын
nbn	бал
nbn	балар
nbn	балардың
nbn	балары
nbn	баларым
nbn	баларымен
nbn	баларымыздың
nbn	баларын
nbn	баларының
nbn	балау
nbn	балаушылар
nbn	балауы
nbn	балақ
nbn	балы
nbn	балық
nbn	бам
nbn	бама
nbn	бамен
nbn	бамнан
nbn	бамның
nbn	бамыз
nbn	бамын
nbn	банда
nbn	бандап
nbn	бандар
nbn	бандары
nbn	баны
nbn	баның
nbn	бап
nbn	бар
nbn	барда
nbn	бардан
nbn	бардар
nbn	барды
nbn	бардың
nbn	барлар
nbn	барлары
nbn	барлау
nbn	барлаушы
nbn	барлы
nbn	барлық
nbn	бармын
nbn	барсыз
nbn	барсың
nbn	баршы
nbn	баршысы
nbn	бары
nbn	барым
nbn	барын
nbn	барына
nbn	барынып
nbn	барыс
nbn	барысты
nbn	барыстың
nbn	барға
nbn	барған
nbn	бас
nbn	басар
nbn	басары
nbn	бастан
nbn	бастау
nbn	бастаушы
nbn	басты
nbn	бастық
nbn	бастың
nbn	басшы
nbn	басшылардың
nbn	басшылық
nbn	басшысы
nbn	басы
nbn	басылы
nbn	басымен
nbn	басын
nbn	басына
nbn	басынан
nbn	басында
nbn	басындағы
nbn	басының
nbn	басыға
nbn	басың
nbn	басқа
nbn	басқан
nbn	бат
nbn	батты
nbn	батын
nbn	батынан
nbn	батыны
nbn	батыр
nbn	батырақ
nbn	бау
nbn	баудан
nbn	баудың
nbn	баушы
nbn	бауы
nbn	бауымен
nbn	башыл
nbn	баға
nbn	баған
nbn	бағы
nbn	бағын
nbn	бағың
nbn	бақ
nbn	баң
nbn	баңа
nbn	баңдап
nbn	дабынан
nbn	дайсып
nbn	дал
nbn	далады
nbn	далу
nbn	далып
nbn	далған
nbn	дапты
nbn	даса
nbn	дасады
nbn	дасаң
nbn	даспақ
nbn	дассыз
nbn	дастан
nbn	дастар
nbn	дастардың
nbn	дастары
nbn	дастарым
