# stem	harmony — the corpus disagreeing with kkphon.harmony(),
# generated by tools/mine_harmony.py
абаев	b
абдиев	b
абсолют	f
автомобиль	f
автопарк	f
академия	b
актив	f
акциз	f
алгоритм	f
алкоголь	f
аллергия	b
аллея	b
аллюр	f
альпинизм	f
альпинист	f
альтруизм	f
алқаби	f
анкет	b
ансамбл	f
аргентин	b
армения	b
ассамблея	b
аутизм	f
ақтаев	b
байғалиев	b
бактерия	b
баку	f
банк	f
беларусь	f
би	f
бихевиоризм	f
бригадир	f
брифинг	f
бүр	b
венгрия	b
витамин	f
гедонизм	f
генотип	f
гик	f
гимн	f
гипс	f
головкин	f
грекия	b
гуманизм	f
дезинфекция	b
депозит	f
депрессия	b
деревня	b
джи	f
диет	b
диск	f
догматизм	f
допинг	f
дүния	b
дүрия	b
дәленов	f
елен	b
еспаев	b
журналист	f
жээнбеков	f
жұмашев	b
и	f
иг	f
идеализм	f
идея	b
иерусалим	f
израиль	f
имидж	f
импульс	f
инвестиция	b
индивид	f
индонезия	b
инспекция	b
инфекция	b
исабаев	b
ит	f
иудаизм	f
ию	f
июль	f
иіссу	b
капитализм	f
карантин	f
каспий	f
кастинг	f
католицизм	f
кахин	f
кашмир	f
кекілбаев	b
ки	f
кию	f
командир	f
коммерция	b
конвенция	b
конференция	b
концепция	b
коньки	f
кооператив	f
корея	b
костюм	f
креатив	f
күрішбаев	b
көлгінов	f
ли	f
лимит	f
литр	f
лифт	f
лицензия	b
логотип	f
локомотив	f
лу	f
магазин	f
магистр	f
мадрид	f
максим	f
мамин	f
марксизм	f
масджид	f
массив	f
материализм	f
материя	b
мег	b
мегаполис	f
медици	b
меланхолик	f
металлург	f
механизм	f
министр	f
мистик	f
мистицизм	f
модуль	f
монолит	f
мотоцикл	f
мультфильм	f
мурид	f
муфти	f
мүн	b
мұғал	f
неотомизм	f
норматив	f
нығматулин	f
округ	f
организм	f
пандемия	b
паразит	f
париж	f
парк	f
парламентаризм	f
патриотизм	f
пенсия	b
пиротехник	b
позитив	f
полис	f
премия	b
принцип	f
психоанализ	f
пункт	f
путин	f
раев	b
расул	f
реактив	f
реализм	f
резиденция	b
ресурс	b
референдум	b
рид	f
ролик	f
рубль	f
руль	f
рымбаев	b
саммит	f
сапарбаев	b
секунд	b
секция	b
семья	b
серия	b
сессия	b
си	f
синоптик	f
скрининг	f
слип	f
соны	f
социализм	f
спектакль	f
спирт	f
спутник	f
сталин	f
стереотип	f
стиль	f
стипендия	b
стратегия	b
суфизм	f
сценарий	f
сәрсенбаев	b
сәтбаев	b
такси	f
тариф	f
телевизия	b
телеконференция	b
тенденция	b
терроризм	f
техник	b
техникум	b
технопарк	f
ти	f
тию	f
толыбаев	b
тоқаев	b
трагедия	b
трамплин	f
транзит	f
туризм	f
турист	f
турнир	f
тюбинг	f
түркия	b
тұрсынбаев	b
тұрғымбаев	b
утилитаризм	f
уэльс	f
факт	f
фашист	f
фигурист	f
фильм	f
хабиб	f
хадим	f
хак	f
хаким	f
хал	f
хас	f
хауариж	f
химик	f
холдинг	f
цех	b
цзиньпин	f
цирк	f
швеция	b
шейх	b
ши	f
шик	f
шприц	f
эйр	f
эколог	f
эксклюзив	f
экспедиция	b
эмпиризм	f
энергетик	b
энергия	b
эпидемия	b
эпопея	b
эфир	f
ясауи	f
қазиев	b
қали	f
қат	f
қошқарбаев	b
құнанбаев	b
әбішев	b
әмин	b
әшімбаев	b
өнербаев	b
