# word	tracks	sources — generated by tools/build_lexicon.py
aманжол	-	baseline
iсмет	-	baseline
а	v	kazdict
аарон	n	apertium,wikipedia
аақ	n	apertium
аб	n	apertium,kazdict
аба	n	apertium,baseline,kazdict
абад	-	kazdict
абадан	n	apertium,baseline,kazdict,wikipedia
абаданлик	-	kazdict
абаданшылық	-	kazdict
абади	-	kazdict
абаев	n	kaznerd,wikipedia
абажа	n	apertium,baseline,kazdict
абажадай	n	apertium,baseline,kazdict
абажур	n	apertium,kazdict
абажурлы	n	apertium,kazdict
абаз	n	apertium,kazdict
абазин	n	apertium
абазиндер	n	kazdict
абазия	n	apertium
абай	n	apertium,baseline,kazdict,kaznerd,wikipedia
абайбек	n	wikipedia
абайда	n	kaznerd
абайдан	-	baseline
абайды	n	kaznerd
абайдың	-	baseline
абайділданов	n	apertium
абайжан	n	apertium
абайла	v	apertium,baseline,kazdict
абайламаушылық	n	apertium
абайлан	v	kazdict
абайланқыра	v	kazdict
абайлап	-	baseline
абайлат	v	apertium,baseline,kazdict
абайлату	-	kazdict
абайлау	-	baseline,kazdict
абайлаушылық	n	apertium
абайлағыш	n	apertium,kazdict
абайлағыштық	-	kazdict
абайлаңқыра	v	apertium
абайма	n	kazdict
абаймен	n	apertium,baseline,kazdict
абайсыз	n	apertium,baseline,kazdict
абайсызда	n	apertium,baseline,kazdict
абайсыздық	n	apertium,baseline,kazdict
абайтану	n	apertium,baseline,kazdict
абайтанушы	n	apertium,baseline,kazdict
абайхан	n	wikipedia
абайшыл	n	kazdict
абайшылдық	n	apertium,kazdict
абайы	n	kaznerd
абайым	n	apertium,kazdict
абайға	n	kaznerd
абайұлы	n	wikipedia
абак	-	kazdict
абака	n	apertium
абакан	n	apertium
абаканов	n	wikipedia
абаков	n	wikipedia
абала	v	apertium,baseline,kazdict
абалаков	n	apertium
абалан	v	apertium,baseline,kazdict
абалас	v	apertium,kazdict
абаласу	-	kazdict
абалат	v	apertium,baseline,kazdict
абалату	-	kazdict
абалау	-	baseline,kazdict
абалақ	n	apertium,baseline,kazdict
абалақта	v	apertium,kazdict
абалақтай	n	apertium,kazdict
абалақтау	-	kazdict
абалоне	n	apertium
абам	n	kazdict
абан	-	kazdict
абана	n	apertium,kazdict
абандон	n	apertium,kazdict
абас	-	kazdict
абат	n	apertium,baseline,kazdict,wikipedia
абатбай	n	wikipedia
абатов	n	wikipedia
абатта	v	apertium,kazdict
абаттан	v	apertium,kazdict
абаттандыр	v	apertium,kazdict
абаттандыру	-	kazdict
абаттандырыл	-	kazdict
