# class	strip	residue	count — from tools/paradigm.py
nbn	0	да	60
nbn	0	дар	60
nbn	0	дарда	60
nbn	0	дардан	60
nbn	0	дардағы	60
nbn	0	дарды	60
nbn	0	дардың	60
nbn	0	дармен	60
nbn	0	дармыз	60
nbn	0	дармын	60
nbn	0	дарсыз	60
nbn	0	дарсыздар	60
nbn	0	дарсың	60
nbn	0	дарсыңдар	60
nbn	0	дары	60
nbn	0	дарым	60
nbn	0	дарыма	60
nbn	0	дарымда	60
nbn	0	дарымдағы	60
nbn	0	дарымды	60
nbn	0	дарымен	60
nbn	0	дарыммен	60
nbn	0	дарымнан	60
nbn	0	дарымның	60
nbn	0	дарымыз	60
nbn	0	дарымызбен	60
nbn	0	дарымызда	60
nbn	0	дарымыздан	60
nbn	0	дарымыздағы	60
nbn	0	дарымызды	60
nbn	0	дарымыздың	60
nbn	0	дарымызға	60
nbn	0	дарын	60
nbn	0	дарына	60
nbn	0	дарынан	60
nbn	0	дарында	60
nbn	0	дарындағы	60
nbn	0	дарының	60
nbn	0	дарың	60
nbn	0	дарыңа	60
nbn	0	дарыңда	60
nbn	0	дарыңдағы	60
nbn	0	дарыңды	60
nbn	0	дарыңмен	60
nbn	0	дарыңнан	60
nbn	0	дарыңның	60
nbn	0	дарыңыз	60
nbn	0	дарыңызбен	60
nbn	0	дарыңызда	60
nbn	0	дарыңыздан	60
nbn	0	дарыңыздағы	60
nbn	0	дарыңызды	60
nbn	0	дарыңыздың	60
nbn	0	дарыңызға	60
nbn	0	дарға	60
nbn	0	дағы	60
nbn	0	ды	60
nbn	0	мен	60
nbn	0	мыз	60
nbn	0	мын	60
nbn	0	нан	60
nbn	0	ның	60
nbn	0	сыз	60
nbn	0	сыздар	60
nbn	0	сың	60
nbn	0	сыңдар	60
nbn	0	ы	60
nbn	0	ым	60
nbn	0	ыма	60
nbn	0	ымда	60
nbn	0	ымдағы	60
nbn	0	ымды	60
nbn	0	ымен	60
nbn	0	ыммен	60
nbn	0	ымнан	60
nbn	0	ымның	60
nbn	0	ымыз	60
nbn	0	ымызбен	60
nbn	0	ымызда	60
nbn	0	ымыздан	60
nbn	0	ымыздағы	60
nbn	0	ымызды	60
nbn	0	ымыздың	60
nbn	0	ымызға	60
nbn	0	ын	60
nbn	0	ына	60
nbn	0	ынан	60
nbn	0	ында	60
nbn	0	ындағы	60
nbn	0	ының	60
nbn	0	ың	60
nbn	0	ыңа	60
nbn	0	ыңда	60
nbn	0	ыңдағы	60
nbn	0	ыңды	60
nbn	0	ыңмен	60
nbn	0	ыңнан	60
nbn	0	ыңның	60
nbn	0	ыңыз	60
nbn	0	ыңызбен	60
nbn	0	ыңызда	60
nbn	0	ыңыздан	60
nbn	0	ыңыздағы	60
nbn	0	ыңызды	60
nbn	0	ыңыздың	60
nbn	0	ыңызға	60
nbn	0	ға	60
nbr	0	да	60
nbr	0	дан	60
nbr	0	дағы	60
nbr	0	ды	60
nbr	0	дың	60
nbr	0	лар	60
nbr	0	ларда	60
nbr	0	лардан	60
nbr	0	лардағы	60
nbr	0	ларды	60
nbr	0	лардың	60
nbr	0	лармен	60
nbr	0	лармыз	60
nbr	0	лармын	60
nbr	0	ларсыз	60
nbr	0	ларсыздар	60
nbr	0	ларсың	60
nbr	0	ларсыңдар	60
nbr	0	лары	60
nbr	0	ларым	60
nbr	0	ларыма	60
nbr	0	ларымда	60
nbr	0	ларымдағы	60
nbr	0	ларымды	60
nbr	0	ларымен	60
nbr	0	ларыммен	60
nbr	0	ларымнан	60
nbr	0	ларымның	60
nbr	0	ларымыз	60
nbr	0	ларымызбен	60
nbr	0	ларымызда	60
nbr	0	ларымыздан	60
nbr	0	ларымыздағы	60
nbr	0	ларымызды	60
nbr	0	ларымыздың	60
nbr	0	ларымызға	60
nbr	0	ларын	60
nbr	0	ларына	60
nbr	0	ларынан	60
nbr	0	ларында	60
nbr	0	ларындағы	60
nbr	0	ларының	60
nbr	0	ларың	60
nbr	0	ларыңа	60
nbr	0	ларыңда	60
nbr	0	ларыңдағы	60
nbr	0	ларыңды	60
nbr	0	ларыңмен	60
nbr	0	ларыңнан	60
nbr	0	ларыңның	60
nbr	0	ларыңыз	60
nbr	0	ларыңызбен	60
nbr	0	ларыңызда	60
nbr	0	ларыңыздан	60
nbr	0	ларыңыздағы	60
nbr	0	ларыңызды	60
nbr	0	ларыңыздың	60
nbr	0	ларыңызға	60
nbr	0	ларға	60
nbr	0	мен	60
nbr	0	мыз	60
nbr	0	мын	60
nbr	0	сыз	60
nbr	0	сыздар	60
nbr	0	сың	60
nbr	0	сыңдар	60
nbr	0	ы	60
nbr	0	ым	60
nbr	0	ыма	60
nbr	0	ымда	60
nbr	0	ымдағы	60
nbr	0	ымды	60
nbr	0	ымен	60
nbr	0	ыммен	60
nbr	0	ымнан	60
nbr	0	ымның	60
nbr	0	ымыз	60
nbr	0	ымызбен	60
nbr	0	ымызда	60
nbr	0	ымыздан	60
nbr	0	ымыздағы	60
nbr	0	ымызды	60
nbr	0	ымыздың	60
nbr	0	ымызға	60
nbr	0	ын	60
nbr	0	ына	60
nbr	0	ынан	60
nbr	0	ында	60
nbr	0	ындағы	60
nbr	0	ының	60
nbr	0	ың	60
nbr	0	ыңа	60
nbr	0	ыңда	60
nbr	0	ыңдағы	60
nbr	0	ыңды	60
nbr	0	ыңмен	60
nbr	0	ыңнан	60
nbr	0	ыңның	60
nbr	0	ыңыз	60
nbr	0	ыңызбен	60
nbr	0	ыңызда	60
nbr	0	ыңыздан	60
nbr	0	ыңыздағы	60
nbr	0	ыңызды	60
nbr	0	ыңыздың	60
nbr	0	ыңызға	60
nbr	0	ға	60
nbt	0	мыз	60
nbt	0	мын	60
nbt	0	пен	60
nbt	0	сыз	60
nbt	0	сыздар	60
nbt	0	сың	60
nbt	0	сыңдар	60
nbt	0	та	60
nbt	0	тан	60
nbt	0	тар	60
nbt	0	тарда	60
nbt	0	тардан	60
nbt	0	тардағы	60
nbt	0	тарды	60
nbt	0	тардың	60
nbt	0	тармен	60
nbt	0	тармыз	60
nbt	0	тармын	60
nbt	0	тарсыз	60
nbt	0	тарсыздар	60
nbt	0	тарсың	60
nbt	0	тарсыңдар	60
nbt	0	тары	60
nbt	0	тарым	60
nbt	0	тарыма	60
nbt	0	тарымда	60
nbt	0	тарымдағы	60
nbt	0	тарымды	60
nbt	0	тарымен	60
nbt	0	тарыммен	60
nbt	0	тарымнан	60
nbt	0	тарымның	60
nbt	0	тарымыз	60
nbt	0	тарымызбен	60
nbt	0	тарымызда	60
nbt	0	тарымыздан	60
nbt	0	тарымыздағы	60
nbt	0	тарымызды	60
nbt	0	тарымыздың	60
nbt	0	тарымызға	60
nbt	0	тарын	60
nbt	0	тарына	60
nbt	0	тарынан	60
nbt	0	тарында	60
nbt	0	тарындағы	60
nbt	0	тарының	60
nbt	0	тарың	60
nbt	0	тарыңа	60
nbt	0	тарыңда	60
nbt	0	тарыңдағы	60
nbt	0	тарыңды	60
nbt	0	тарыңмен	60
nbt	0	тарыңнан	60
nbt	0	тарыңның	60
nbt	0	тарыңыз	60
nbt	0	тарыңызбен	60
nbt	0	тарыңызда	60
nbt	0	тарыңыздан	60
nbt	0	тарыңыздағы	60
nbt	0	тарыңызды	60
nbt	0	тарыңыздың	60
nbt	0	тарыңызға	60
nbt	0	тарға	60
nbt	0	тағы	60
nbt	0	ты	60
nbt	0	тың	60
nbt	0	қа	60
nbt	п	ы	60
nbt	п	ым	60
nbt	п	ыма	60
nbt	п	ымда	60
nbt	п	ымдағы	60
nbt	п	ымды	60
nbt	п	ымен	60
nbt	п	ыммен	60
nbt	п	ымнан	60
nbt	п	ымның	60
nbt	п	ымыз	60
nbt	п	ымызбен	60
nbt	п	ымызда	60
nbt	п	ымыздан	60
nbt	п	ымыздағы	60
nbt	п	ымызды	60
nbt	п	ымыздың	60
nbt	п	ымызға	60
nbt	п	ын	60
nbt	п	ына	60
nbt	п	ынан	60
nbt	п	ында	60
nbt	п	ындағы	60
nbt	п	ының	60
nbt	п	ың	60
nbt	п	ыңа	60
nbt	п	ыңда	60
nbt	п	ыңдағы	60
nbt	п	ыңды	60
nbt	п	ыңмен	60
nbt	п	ыңнан	60
nbt	п	ыңның	60
nbt	п	ыңыз	60
nbt	п	ыңызбен	60
nbt	п	ыңызда	60
nbt	п	ыңыздан	60
nbt	п	ыңыздағы	60
nbt	п	ыңызды	60
nbt	п	ыңыздың	60
nbt	п	ыңызға	60
nbv	0	да	60
nbv	0	дан	60
nbv	0	дағы	60
nbv	0	лар	60
nbv	0	ларда	60
nbv	0	лардан	60
nbv	0	лардағы	60
nbv	0	ларды	60
nbv	0	лардың	60
nbv	0	лармен	60
nbv	0	лармыз	60
nbv	0	лармын	60
nbv	0	ларсыз	60
nbv	0	ларсыздар	60
nbv	0	ларсың	60
nbv	0	ларсыңдар	60
nbv	0	лары	60
nbv	0	ларым	60
nbv	0	ларыма	60
nbv	0	ларымда	60
nbv	0	ларымдағы	60
nbv	0	ларымды	60
nbv	0	ларымен	60
nbv	0	ларыммен	60
nbv	0	ларымнан	60
nbv	0	ларымның	60
nbv	0	ларымыз	60
nbv	0	ларымызбен	60
nbv	0	ларымызда	60
nbv	0	ларымыздан	60
nbv	0	ларымыздағы	60
nbv	0	ларымызды	60
nbv	0	ларымыздың	60
nbv	0	ларымызға	60
nbv	0	ларын	60
nbv	0	ларына	60
nbv	0	ларынан	60
nbv	0	ларында	60
nbv	0	ларындағы	60
nbv	0	ларының	60
nbv	0	ларың	60
nbv	0	ларыңа	60
nbv	0	ларыңда	60
nbv	0	ларыңдағы	60
nbv	0	ларыңды	60
nbv	0	ларыңмен	60
nbv	0	ларыңнан	60
nbv	0	ларыңның	60
nbv	0	ларыңыз	60
nbv	0	ларыңызбен	60
nbv	0	ларыңызда	60
nbv	0	ларыңыздан	60
nbv	0	ларыңыздағы	60
nbv	0	ларыңызды	60
nbv	0	ларыңыздың	60
nbv	0	ларыңызға	60
nbv	0	ларға	60
nbv	0	м	60
nbv	0	ма	60
nbv	0	мда	60
nbv	0	мдағы	60
nbv	0	мды	60
nbv	0	мен	60
nbv	0	ммен	60
nbv	0	мнан	60
nbv	0	мның	60
nbv	0	мыз	60
nbv	0	мызбен	60
nbv	0	мызда	60
nbv	0	мыздан	60
nbv	0	мыздағы	60
nbv	0	мызды	60
nbv	0	мыздың	60
nbv	0	мызға	60
nbv	0	мын	60
nbv	0	ны	60
nbv	0	ның	60
nbv	0	сы	60
nbv	0	сыз	60
nbv	0	сыздар	60
nbv	0	сымен	60
nbv	0	сын	60
nbv	0	сына	60
nbv	0	сынан	60
nbv	0	сында	60
nbv	0	сындағы	60
nbv	0	сының	60
nbv	0	сың	60
nbv	0	сыңдар	60
nbv	0	ға	60
nbv	0	ң	60
nbv	0	ңа	60
nbv	0	ңда	60
nbv	0	ңдағы	60
nbv	0	ңды	60
nbv	0	ңмен	60
nbv	0	ңнан	60
nbv	0	ңның	60
nbv	0	ңыз	60
nbv	0	ңызбен	60
nbv	0	ңызда	60
nbv	0	ңыздан	60
nbv	0	ңыздағы	60
nbv	0	ңызды	60
nbv	0	ңыздың	60
nbv	0	ңызға	60
nbz	0	бен	60
nbz	0	да	60
nbz	0	дан	60
nbz	0	дар	60
nbz	0	дарда	60
nbz	0	дардан	60
nbz	0	дардағы	60
nbz	0	дарды	60
nbz	0	дардың	60
nbz	0	дармен	60
nbz	0	дармыз	60
nbz	0	дармын	60
nbz	0	дарсыз	60
nbz	0	дарсыздар	60
nbz	0	дарсың	60
nbz	0	дарсыңдар	60
nbz	0	дары	60
nbz	0	дарым	60
nbz	0	дарыма	60
nbz	0	дарымда	60
nbz	0	дарымдағы	60
nbz	0	дарымды	60
nbz	0	дарымен	60
nbz	0	дарыммен	60
nbz	0	дарымнан	60
nbz	0	дарымның	60
nbz	0	дарымыз	60
nbz	0	дарымызбен	60
nbz	0	дарымызда	60
nbz	0	дарымыздан	60
nbz	0	дарымыздағы	60
nbz	0	дарымызды	60
nbz	0	дарымыздың	60
nbz	0	дарымызға	60
nbz	0	дарын	60
nbz	0	дарына	60
nbz	0	дарынан	60
nbz	0	дарында	60
nbz	0	дарындағы	60
nbz	0	дарының	60
nbz	0	дарың	60
nbz	0	дарыңа	60
nbz	0	дарыңда	60
nbz	0	дарыңдағы	60
nbz	0	дарыңды	60
nbz	0	дарыңмен	60
nbz	0	дарыңнан	60
nbz	0	дарыңның	60
nbz	0	дарыңыз	60
nbz	0	дарыңызбен	60
nbz	0	дарыңызда	60
nbz	0	дарыңыздан	60
nbz	0	дарыңыздағы	60
nbz	0	дарыңызды	60
nbz	0	дарыңыздың	60
nbz	0	дарыңызға	60
nbz	0	дарға	60
nbz	0	дағы	60
nbz	0	ды	60
nbz	0	дың	60
nbz	0	мен	60
nbz	0	мыз	60
nbz	0	мын	60
nbz	0	сыз	60
nbz	0	сыздар	60
nbz	0	сың	60
nbz	0	сыңдар	60
nbz	0	ы	60
nbz	0	ым	60
nbz	0	ыма	60
nbz	0	ымда	60
nbz	0	ымдағы	60
nbz	0	ымды	60
nbz	0	ымен	60
nbz	0	ыммен	60
nbz	0	ымнан	60
nbz	0	ымның	60
nbz	0	ымыз	60
nbz	0	ымызбен	60
nbz	0	ымызда	60
nbz	0	ымыздан	60
nbz	0	ымыздағы	60
nbz	0	ымызды	60
nbz	0	ымыздың	60
nbz	0	ымызға	60
nbz	0	ын	60
nbz	0	ына	60
nbz	0	ынан	60
nbz	0	ында	60
nbz	0	ындағы	60
nbz	0	ының	60
nbz	0	ың	60
nbz	0	ыңа	60
nbz	0	ыңда	60
nbz	0	ыңдағы	60
nbz	0	ыңды	60
nbz	0	ыңмен	60
nbz	0	ыңнан	60
