# class	strip	residue	count — generated by tools/mine_residues.py
nbv	0	ның	1037
nbv	0	лық	998
nbt	0	ты	956
nbt	0	тың	928
vbv	0	п	879
nbt	0	қа	841
nbv	0	ға	783
nbv	0	сы	748
nbv	0	ны	743
vbv	0	ған	743
nft	0	ті	627
nbr	0	ға	626
nft	0	тің	626
nbv	0	лар	605
nbr	0	ы	592
nbn	0	ның	581
nbt	0	тар	569
nbt	0	тан	559
nbn	0	ды	534
nbr	0	дың	529
nbn	0	ға	525
nft	0	ке	517
nbt	қ	ы	507
nbv	0	дан	479
nbv	0	да	468
vfv	0	п	447
nbn	0	ы	446
nbv	0	сын	431
nbr	0	ды	425
nbt	0	ы	423
nbt	0	тық	422
nbt	0	та	420
vbv	0	ды	388
nft	0	тен	383
nbn	0	дай	380
nfv	0	нің	380
nbv	0	қ	369
nft	к	і	368
nfv	0	лік	365
nft	0	тер	360
nbt	0	пен	358
nbn	0	нан	356
vfv	0	ген	356
nbr	0	ын	352
nbv	0	лы	349
nbn	0	дық	348
nbt	0	тап	344
nbt	0	тай	342
nfv	0	ге	341
nbn	0	да	314
nbt	қ	ын	312
nfr	0	і	312
nbr	0	дан	310
nfv	0	ні	304
nbv	0	мен	300
nfv	0	лер	296
nfv	0	сі	292
nfn	0	і	290
nfr	0	ге	287
vbn	0	ып	286
nbt	0	тары	281
nbv	0	лардың	277
nfn	0	ді	277
nfr	0	дің	276
nbv	0	м	275
nft	0	і	275
nbn	0	ын	274
nbn	0	дар	272
nbv	0	сының	271
nft	0	тік	268
nbr	0	лар	266
nbv	0	лары	260
nbv	0	лау	258
nfn	0	нің	255
vbv	0	у	255
nbr	0	лық	254
nbv	0	сына	254
nbr	0	да	253
vbn	0	ған	250
nbt	0	тау	249
vbn	0	у	249
nfn	0	ге	242
nbv	0	р	238
nbt	0	тардың	234
vbv	0	йды	231
nbv	0	дай	230
nbr	0	ына	229
nft	0	те	228
nft	0	пен	227
nft	к	ін	227
vbv	0	нып	226
nfv	0	к	221
vbv	0	йтын	220
nfv	0	ден	219
nbn	0	ына	216
nbt	0	ын	216
nbv	0	ларды	215
nbv	0	ғы	213
nfr	0	ді	211
nbt	қ	ына	210
vbv	0	тып	208
nbv	0	ң	202
nbz	0	дың	201
nbr	0	лы	199
nbz	0	ды	198
nbr	0	мен	197
nfv	0	сін	195
nbv	0	дағы	189
nft	0	тердің	188
nbn	0	дау	185
nbz	0	ы	185
nbt	0	сыз	182
nbz	0	ға	181
nbt	0	тарды	179
nbn	0	мен	178
nft	0	тей	178
nft	0	теп	178
vbr	0	ып	178
nft	0	тері	177
nfn	0	дей	175
nbv	0	ларын	174
vfv	0	ді	172
nbt	0	тарын	170
nfn	0	нен	170
nbz	0	дап	168
nfv	0	лі	167
vbn	0	ды	167
nbz	0	дық	164
nbv	0	сында	163
nfr	0	лер	163
nbv	0	ларға	162
nfv	0	м	162
vbt	0	у	162
nfn	0	дік	161
nfn	0	ін	161
nfv	0	ң	161
vfn	0	іп	161
nfr	0	ін	160
nbv	0	л	159
nfv	0	леу	158
nbt	0	тарға	157
vbt	0	ып	157
vfn	0	ген	155
nbn	0	дап	153
vfn	0	у	152
nfv	0	де	151
nbr	0	ынан	150
nbv	0	т	150
nbv	0	сынан	149
vbv	0	қ	148
nbt	0	ына	147
nft	0	терді	147
nfv	0	дей	147
nbt	0	тағы	146
nfr	0	ден	146
vbv	0	са	146
vbv	0	май	145
nbn	0	ының	143
nfr	0	лік	143
nft	0	ін	142
nbn	0	ым	141
nbr	0	ының	141
nbv	0	лығы	141
nfv	0	мен	141
nbr	0	дай	140
nfr	0	де	139
nbz	0	дар	138
nbt	0	ының	137
nfn	0	де	136
nbt	0	тарының	135
nft	0	теу	135
nfn	0	іне	134
nbn	0	ша	132
nft	к	іне	129
nfv	0	лері	129
nbv	0	ларының	128
nbv	0	ғын	128
nbv	0	п	127
nfv	0	лердің	127
nfr	0	іне	125
vfv	0	у	125
nfn	0	дер	124
nft	0	терін	124
vbt	0	ты	124
nbz	0	дан	123
nfr	0	мен	123
nft	0	сіз	119
nbr	0	лардың	118
nfv	0	сіне	118
vbt	0	қан	118
nbv	0	с	117
vfv	0	ніп	117
nfz	0	і	116
nbr	0	шы	115
vbv	0	ма	115
vfv	0	йтін	115
nbn	0	дардың	114
nfz	0	ді	113
nbn	0	ынан	112
vbr	0	ған	112
nbr	0	ым	111
nfv	0	лігі	110
nbv	0	ды	109
nfv	0	гі	109
nbt	0	ша	108
nft	0	інің	108
vfv	0	йді	107
nbn	0	дағы	106
nbn	0	ында	106
nbt	қ	ының	106
nfv	0	лерді	106
nbr	0	лары	104
nbr	0	ында	104
nbt	қ	ынан	104
nfz	0	дің	104
vbv	0	та	103
nbt	0	тардан	102
nbn	0	ымен	101
vft	0	у	101
vft	0	іп	100
nbr	0	лау	99
nbz	0	ын	99
nft	к	інің	99
vbr	0	у	99
vbv	0	р	99
nbv	0	на	98
nbn	0	дары	97
vbv	0	ту	97
nfn	0	інің	95
nft	0	тегі	95
nfz	0	ге	95
vfn	0	ді	95
nbn	0	ың	94
nft	0	терге	94
nft	0	іне	94
vbv	0	с	94
nbr	0	дағы	93
nbv	0	лығын	93
nfn	0	мен	93
nbr	0	ларды	92
nbv	0	мды	92
nbz	0	да	92
nbv	0	ма	91
nbv	0	шы	91
nfn	0	деу	91
nfv	0	сінің	91
nfz	0	дік	91
vbv	0	т	91
nbv	0	йды	90
nbv	0	ларына	90
nbv	0	лықты	90
nbv	0	сымен	90
vbv	0	на	90
nbv	0	у	89
nfr	0	інің	89
nft	0	терінің	89
nfv	0	р	89
vbv	0	сып	89
vfv	0	тіп	89
nbt	0	талған	88
nbt	0	ында	88
nbv	0	ша	88
nbv	0	нда	87
nbv	0	тын	86
nbv	0	ған	86
nbt	0	тарда	85
vbn	0	дыру	85
vft	0	кен	85
vfr	0	іп	84
vbz	0	ып	83
nfn	0	ім	82
nfr	0	лердің	82
nbn	0	сыз	81
nbt	0	шы	81
nbv	0	лардан	81
nbv	0	рды	81
nfr	0	лері	81
nft	к	інен	81
vft	0	ті	81
nbn	0	дарды	80
nbr	0	ымен	80
nbt	0	ынан	80
vbr	0	ды	80
nbt	0	тарына	79
nbv	0	сыз	79
nfv	0	лерін	79
nbv	0	ры	78
nfn	0	інен	78
nbt	0	тармен	77
nbv	0	ғына	77
nbv	0	ңды	77
nbz	0	дай	77
nfz	0	ден	77
nbv	0	мыз	76
nft	к	імен	76
nfz	0	де	76
nbv	0	мын	75
nbv	0	рып	75
nbv	0	рға	75
nbr	0	ларға	74
nfv	0	лерге	74
vbv	0	тты	74
nbt	0	тас	73
nbt	қ	ым	73
nbv	0	лыққа	73
nfn	0	ше	73
nfv	0	гін	73
nfv	0	лікке	73
vbn	0	ады	73
nbv	0	ларда	72
nbr	0	ларын	71
nfn	0	деп	71
nbr	0	сыз	70
nbt	0	ым	70
nbt	0	ымен	70
nbt	қ	ында	70
nfv	0	лерінің	70
nbt	қ	ымен	69
nbv	0	лармен	69
nfn	0	імен	69
vbt	0	ады	69
nfn	0	ің	68
nbn	0	дарға	67
nbv	0	н	67
nbz	0	ым	67
vbv	0	дым	67
vbv	0	майды	67
vbz	0	ған	67
nbz	0	дардың	66
nfr	0	лі	66
nfv	0	лық	66
vfv	0	се	66
vfz	0	іп	66
nbt	0	шыл	65
nbz	0	дау	65
nfn	0	дері	65
vfr	0	ген	65
vfv	0	ме	65
nbr	0	лығы	64
nbv	0	лықтың	64
nbv	0	рдың	64
nbz	0	ына	64
nfn	0	дердің	64
nfr	0	інде	64
nfr	0	інен	64
nfv	0	лігін	64
nbr	0	ша	63
nfn	0	інде	63
nfz	0	дер	63
vfv	0	к	63
vfv	0	ту	63
nbv	0	ларынан	62
nfn	0	сіз	62
nft	0	ше	62
nbn	0	дыққа	61
nbv	0	лды	61
nbz	0	дары	61
nft	0	шіл	61
nfv	0	п	61
nfv	0	ңді	61
nfz	0	деп	61
nbr	0	ың	60
nbv	0	са	60
nbv	0	сындағы	60
vfn	0	еді	60
vbr	0	тып	59
nfr	0	дегі	58
nft	0	теріне	58
nfz	0	ін	58
vbv	0	тқан	58
nbr	0	ларының	57
nbr	0	шылық	57
nbv	0	ндар	57
nbv	0	рын	57
nbz	0	ының	57
nfn	0	дерді	57
nfv	0	сінен	57
vbz	0	у	57
nbn	0	дарын	56
nbn	0	шыл	56
nbt	0	ың	56
nbv	0	лығына	56
nbv	0	тты	56
nbv	0	ты	56
nfv	0	л	56
nfv	0	сінде	56
vbv	0	майтын	56
nft	0	інде	55
nfv	0	ліктің	55
nbv	0	шыл	54
vbv	0	сын	54
vbz	0	ды	54
vfv	0	р	54
nbv	0	лады	53
nbv	0	ларында	53
nbv	0	ғының	53
nft	0	терден	53
nft	0	імен	53
nfv	0	мді	53
nfv	0	т	53
vbn	0	дырып	53
vbv	0	су	53
vfn	0	діру	53
nbn	0	дықтың	52
nbt	0	тарында	52
nbv	0	тқа	52
nfr	0	імен	52
nft	0	терде	52
nft	0	термен	52
nft	0	ші	52
nfv	0	дегі	52
nfv	0	лігіне	52
nbn	0	дықтан	51
nbv	0	ғынан	51
nft	к	інде	51
nfv	0	ді	51
nbv	0	йдың	50
nfr	0	лерге	50
nft	0	інен	50
nfv	0	ның	50
nfv	0	ше	50
vbv	0	маған	50
vfr	0	ді	50
vfv	0	мей	50
nbt	0	талып	49
nbv	0	лауға	49
nbv	0	ғым	49
nbz	0	дарды	49
nfv	0	лікті	49
nfv	0	не	49
vbv	0	натын	49
vbv	0	ып	49
vbv	0	ғы	49
vfv	0	не	49
vfv	0	т	49
vfv	0	те	49
vfz	0	ген	49
vfz	0	у	49
nbt	0	тарынан	48
nbt	0	тасып	48
nbt	0	шылар	48
nbz	0	дарға	48
nfn	0	дегі	48
nfv	0	сімен	48
nfv	0	ші	48
nfz	0	дей	48
nfz	0	деу	48
nfz	0	ім	48
vbr	0	ады	48
nbn	0	дықты	47
nbt	0	тайды	47
nbv	0	лықпен	47
nbv	0	мның	47
nbv	0	ру	47
nbv	0	ңа	47
nft	0	ім	47
vbn	0	дыр	47
vbv	0	ушы	47
vfr	0	у	47
nbr	0	шылар	46
nfv	0	лерден	46
nfv	0	леріне	46
vfv	0	с	46
nbn	0	дайды	45
nbv	0	лықтан	45
nfv	0	лікпен	45
nfz	0	іне	45
nbn	0	шы	44
nbn	0	ыңды	44
nbv	0	лға	44
nbv	0	рған	44
nbv	0	сың	44
nft	0	терімен	44
nfv	0	с	44
vfz	0	ді	44
nbr	0	ындағы	43
nfr	0	ші	43
vbr	0	атын	43
vbr	0	ылған	43
vbv	0	ймын	43
vfv	0	сіп	43
nbn	0	дардан	42
nbn	0	дарының	42
nbr	0	лыққа	42
nbt	0	ындағы	42
nbt	қ	ың	42
nbv	0	ларымен	42
nfr	0	дей	42
nfr	0	леу	42
nfr	0	ім	42
vbv	0	мады	42
vbv	0	мас	42
vft	0	еді	42
nbt	0	тарымен	41
nbt	0	ып	41
nbv	0	рдан	41
nbv	0	ңыз	41
nfv	0	рі	41
nfz	0	дері	41
vbv	0	лып	41
vbv	0	лған	41
nbn	0	ындағы	40
nbv	0	лдың	40
nbv	0	лып	40
nbv	0	лған	40
nbz	0	бен	40
nbz	0	ынан	40
nfr	0	ің	40
nft	0	телген	40
nfv	0	гіне	40
nfv	0	ға	40
vbt	қ	ып	40
vbv	0	пты	40
vbv	0	сқан	40
nbn	0	а	39
nbt	0	у	39
nbt	0	ыр	39
nbv	0	ттың	39
nfn	0	дерін	39
nfv	0	ген	39
nfv	0	лермен	39
vbv	0	мақ	39
vbv	0	сты	39
nbv	0	пты	38
nbv	0	рақ	38
nbv	0	та	38
nfr	0	сіз	38
nft	0	терінде	38
nft	0	ің	38
nfv	0	лерде	38
nfv	0	н	38
nbr	0	лығын	37
nbt	0	тықты	37
nbv	0	ндағы	37
nbv	0	сып	37
nbz	0	ында	37
nfr	0	лерін	37
nfv	0	нде	37
nfv	0	сы	37
nfv	0	сіз	37
nfz	0	інде	37
vbn	0	баған	37
vbv	0	дың	37
vfv	0	тті	37
nbn	0	дарда	36
nbn	0	ыма	36
nbr	0	ларына	36
nbt	0	шылық	36
nbv	0	нып	36
nbv	0	рда	36
nbv	0	рлау	36
nbz	0	дарын	36
nfn	0	дерге	36
nfr	0	лерді	36
nft	0	тес	36
nft	к	ім	36
nfz	0	інің	36
vbv	0	саң	36
vfn	0	діріп	36
nbt	0	татып	35
nbv	0	ба	35
nbv	0	йтын	35
nbv	0	мнан	35
nbv	0	стан	35
nbv	0	сты	35
nbz	0	дарының	35
nbz	0	мен	35
nfz	0	інен	35
vbv	0	м	35
vbv	0	малы	35
vbz	0	ады	35
vfr	0	тіп	35
nbn	0	дарына	34
nbn	0	шылық	34
nbt	0	тыққа	34
nbv	0	рлық	34
nbv	0	ғың	34
nbv	0	ңның	34
nfn	0	ші	34
nfr	0	лерінің	34
nfv	0	ме	34
vbv	0	йсың	34
vbv	0	ры	34
nbr	0	ларда	33
nbr	0	мын	33
nbt	0	тасу	33
nbt	п	ы	33
nbv	0	бы	33
nbv	0	лда	33
nbv	0	рады	33
nbv	0	ттан	33
nbv	0	шылар	33
nfn	0	іңді	33
nft	0	терінен	33
vbr	0	ылып	33
vbt	0	па	33
vbv	0	тады	33
vft	0	се	33
nbn	0	дан	32
