# class	strip	residue	count — from tools/verb_paradigm.py
vbt	0	а	60
vbt	0	ады	60
vbt	0	айын	60
vbt	0	айық	60
vbt	0	амыз	60
vbt	0	амын	60
vbt	0	ар	60
vbt	0	армыз	60
vbt	0	армын	60
vbt	0	арсыз	60
vbt	0	арсыздар	60
vbt	0	арсың	60
vbt	0	арсыңдар	60
vbt	0	асыз	60
vbt	0	асыздар	60
vbt	0	асың	60
vbt	0	асыңдар	60
vbt	0	атын	60
vbt	0	пады	60
vbt	0	падым	60
vbt	0	падық	60
vbt	0	падың	60
vbt	0	падыңдар	60
vbt	0	падыңыз	60
vbt	0	падыңыздар	60
vbt	0	пай	60
vbt	0	пайды	60
vbt	0	паймыз	60
vbt	0	паймын	60
vbt	0	пайсыз	60
vbt	0	пайсыздар	60
vbt	0	пайсың	60
vbt	0	пайсыңдар	60
vbt	0	пайтын	60
vbt	0	пап	60
vbt	0	папты	60
vbt	0	пас	60
vbt	0	паса	60
vbt	0	пасам	60
vbt	0	пасақ	60
vbt	0	пасаң	60
vbt	0	пасаңдар	60
vbt	0	пасаңыз	60
vbt	0	пасаңыздар	60
vbt	0	пасмыз	60
vbt	0	пасмын	60
vbt	0	пассыз	60
vbt	0	пассыздар	60
vbt	0	пассың	60
vbt	0	пассыңдар	60
vbt	0	пау	60
vbt	0	паушы	60
vbt	0	пағалы	60
vbt	0	паған	60
vbt	0	пағанмыз	60
vbt	0	пағанмын	60
vbt	0	пағансыз	60
vbt	0	пағансыздар	60
vbt	0	пағансың	60
vbt	0	пағансыңдар	60
vbt	0	са	60
vbt	0	сам	60
vbt	0	сақ	60
vbt	0	саң	60
vbt	0	саңдар	60
vbt	0	саңыз	60
vbt	0	саңыздар	60
vbt	0	ты	60
vbt	0	тым	60
vbt	0	тық	60
vbt	0	тың	60
vbt	0	тыңдар	60
vbt	0	тыңыз	60
vbt	0	тыңыздар	60
vbt	0	у	60
vbt	0	ушы	60
vbt	0	ып	60
vbt	0	ыпты	60
vbt	0	ыңдар	60
vbt	0	ыңыз	60
vbt	0	қалы	60
vbt	0	қан	60
vbt	0	қанмыз	60
vbt	0	қанмын	60
vbt	0	қансыз	60
vbt	0	қансыздар	60
vbt	0	қансың	60
vbt	0	қансыңдар	60
vbv	0	ды	60
vbv	0	дым	60
vbv	0	дық	60
